,true_category,predicted_categorys
72252,4,4
2502,1,1
58319,4,4
45403,1,1
98963,25,11
71475,9,9
97111,8,4
72507,1,1
112745,22,7
29531,26,26
59457,18,23
39755,4,4
108690,11,4
45989,6,6
99934,3,26
28977,4,4
76236,4,4
103519,4,4
19484,25,25
34615,1,1
80515,1,1
83699,13,13
54456,26,26
108784,11,11
79814,11,11
83431,1,1
3955,4,4
55722,4,20
73320,10,10
56353,4,4
39835,26,26
62892,6,1
14222,1,1
13041,4,4
2572,7,1
54864,21,10
74623,26,5
88362,3,20
48057,21,6
62797,21,26
35831,22,22
29417,12,25
55348,7,7
91363,9,9
41934,1,9
980,1,9
67134,4,4
69601,10,10
43301,4,4
94444,9,9
54602,4,4
7879,4,4
124706,25,25
89371,7,25
11212,4,4
94264,11,25
57617,4,4
30217,4,4
67128,4,4
98507,28,4
37691,21,15
4404,0,0
674,2,26
4656,6,4
78317,6,0
99529,28,15
53234,26,4
2891,6,4
59981,28,4
96442,7,7
121622,25,7
103326,11,4
46862,4,20
94882,1,1
60767,1,1
70489,18,25
9410,1,1
82260,4,1
82417,4,4
8579,1,1
37286,7,26
49091,4,4
83228,4,4
117721,15,4
45880,4,4
36658,4,4
107910,30,30
55086,9,9
70299,21,8
44753,1,1
89347,15,15
66383,4,4
112411,1,20
111787,13,13
11897,4,4
58158,4,1
64294,8,14
100113,24,24
37053,21,10
115093,23,1
84424,1,1
34270,26,26
31640,4,4
99549,11,11
58429,7,7
5614,9,1
30886,1,1
53313,1,1
74059,10,1
59425,8,8
1472,17,1
75092,27,20
51325,26,26
9631,4,4
49363,20,25
35683,23,11
101792,3,25
68671,1,1
5996,4,4
66570,14,11
113203,1,1
7164,1,1
226,0,0
105665,25,3
26002,2,4
90905,1,1
78098,10,4
90379,1,1
31731,10,10
6048,6,6
79816,23,23
54107,5,24
15478,4,4
8008,10,10
83917,4,4
12601,23,4
15346,8,4
121325,4,4
70142,21,15
56191,4,4
72543,10,3
74775,16,7
50194,7,11
78983,11,11
62640,4,1
86460,1,1
83571,8,1
117743,12,24
119141,4,4
46186,16,28
29353,25,25
69949,4,4
116197,25,24
84073,1,1
59947,26,28
124867,10,5
115749,1,1
69589,4,4
31241,6,0
44599,25,25
886,8,8
67236,5,4
66659,4,4
86084,1,0
69301,5,10
81328,1,1
40061,1,22
84456,1,1
10883,4,4
85138,27,0
90813,30,4
107474,4,4
15990,25,25
7623,1,1
30874,8,1
55995,4,4
82414,16,25
68988,6,1
41479,1,22
102289,11,4
106817,11,25
17293,15,7
113850,11,8
98432,6,23
74093,23,8
70622,0,4
5772,4,2
10120,20,7
40171,23,4
33873,8,24
75865,25,9
57686,26,11
87357,12,11
30356,4,4
28825,8,8
120102,23,3
40895,4,4
43134,4,4
94980,25,25
25709,17,4
2683,4,4
33869,6,4
804,4,4
39665,26,26
103713,0,1
100130,20,3
70860,25,25
35875,1,1
105377,11,11
105636,3,20
67605,10,10
66898,11,11
99807,20,20
118253,11,11
13659,10,10
5789,17,1
115319,27,25
632,4,4
47992,13,4
41727,22,4
29762,23,25
40203,26,26
15415,25,25
12783,4,4
21054,4,4
49991,3,4
66925,10,10
42067,25,25
54630,6,1
13585,1,1
41344,26,4
78449,26,26
22915,25,25
68277,1,1
13912,1,1
63817,4,4
18136,4,4
47868,4,13
50856,10,10
646,4,1
100189,3,7
76753,14,24
59250,8,8
24572,4,26
39444,1,1
1043,4,4
98734,19,25
1176,6,6
74835,22,22
24824,25,25
118055,28,4
59678,4,4
72548,1,4
18694,4,4
83875,1,1
4118,4,3
114847,4,4
32586,1,1
106352,11,4
28105,11,4
91880,18,10
97689,19,7
76191,1,1
40101,4,4
99793,16,16
81592,1,1
61000,4,4
8449,9,1
113263,1,1
89748,23,4
62367,0,5
124267,22,8
123907,25,25
43171,21,1
38976,1,1
73912,10,0
112928,30,24
41657,4,7
69850,26,3
28009,4,13
53571,26,4
122653,23,0
88341,1,1
44395,21,20
62608,4,4
66032,16,7
60025,4,4
61650,17,6
17471,4,4
28256,1,1
19516,6,15
122127,13,4
54141,5,0
34342,4,4
37791,9,6
119705,20,20
60331,4,4
36770,1,1
94556,4,4
47463,4,4
66364,4,4
103066,30,27
79559,11,4
8676,21,13
6363,4,4
101877,28,4
43488,4,4
61067,8,1
124498,29,1
20371,15,15
18952,9,9
112068,1,9
15635,9,20
78450,4,4
35452,4,4
12847,2,25
104100,8,25
110142,7,7
106407,12,12
54696,26,4
15891,1,1
33396,4,4
23764,4,28
67767,4,4
61961,5,4
14949,4,4
105233,20,5
33192,22,7
81123,4,3
28980,6,1
90939,29,30
56484,4,4
96300,30,9
97833,11,25
40060,4,11
38137,1,1
83082,16,5
92332,28,15
100747,30,3
96807,4,4
30768,26,4
105775,29,8
62879,4,4
27379,4,4
118241,11,9
66910,4,4
122664,22,1
50266,26,4
36450,4,4
79340,1,4
75643,0,4
119658,22,7
74267,13,4
88871,25,1
102801,29,1
110908,11,4
122924,25,25
120422,6,1
95124,11,11
15294,2,26
109552,15,3
64452,25,5
19936,2,7
39036,3,1
96902,30,1
18102,1,1
73574,0,0
19384,1,1
104629,9,9
22858,2,26
112611,11,3
109774,25,30
46457,28,11
93121,25,25
113800,22,22
122405,4,4
35478,4,4
91822,7,3
17520,2,4
120712,12,7
17496,4,4
109315,9,26
55484,4,4
53980,1,1
38995,21,1
62706,4,4
95483,27,3
4293,1,4
27660,0,5
73859,4,4
17415,2,28
68030,4,4
18880,20,20
59157,10,10
74605,4,11
14336,8,1
103195,25,3
68239,6,1
55081,0,4
2231,4,26
112546,30,7
2532,2,4
71529,4,0
83426,29,7
73751,14,11
55224,4,4
80487,14,8
65872,11,4
80995,4,4
9482,8,1
87021,22,7
122770,29,3
10032,4,4
120486,28,13
68286,13,8
19964,4,4
3245,4,4
44915,4,4
48678,9,1
110653,24,25
42258,6,4
72423,4,25
51849,20,1
7864,17,1
35508,4,4
85252,15,15
27070,4,4
104420,25,25
33293,23,10
97534,11,11
73371,4,6
82118,17,5
93745,4,4
27741,8,8
87683,4,7
9709,1,1
101362,15,7
114408,3,3
93251,4,4
13756,1,1
31141,4,4
77335,16,16
113901,12,7
79820,4,4
101399,1,1
88809,0,4
85876,4,4
99629,7,24
12600,4,4
61746,23,4
15881,3,25
29226,5,4
22851,2,4
46544,4,15
28509,24,24
34257,4,4
96860,25,25
105448,8,5
90252,24,24
51394,10,10
35761,4,4
76766,4,4
82491,13,1
60407,1,1
74957,4,4
114113,12,13
75894,0,4
123417,25,25
107976,5,0
67544,1,1
61548,11,11
34957,4,4
38093,4,4
85268,1,1
95877,30,1
60567,29,20
62928,1,1
102767,20,20
32301,26,26
54398,16,4
69849,26,26
120349,6,6
77304,8,25
100617,1,1
12650,13,13
115275,4,4
41027,10,10
94199,11,25
77768,4,4
78324,4,4
122140,11,8
47923,10,11
11699,4,4
101943,28,28
18686,4,4
2071,8,1
107429,11,8
44123,4,4
86042,19,26
59146,25,25
85996,20,20
109526,25,25
124010,8,20
70165,24,25
41752,3,9
75027,4,4
27263,15,10
87572,4,4
100751,25,25
50905,18,6
48337,4,4
13035,23,23
97389,1,1
91584,4,4
26767,9,10
85290,10,10
105803,15,26
101395,30,4
13557,2,4
74098,9,20
27895,4,4
413,4,4
59373,4,4
79639,4,4
97902,30,1
69140,4,4
16789,4,4
88784,4,4
118777,4,4
119215,4,4
62454,11,4
52427,21,4
470,4,4
93369,11,11
50134,26,26
35703,9,9
117176,29,7
45492,4,4
68218,4,4
120815,1,20
84919,8,1
10672,4,4
69149,14,25
75013,23,7
47781,4,4
59071,27,4
48491,1,1
64730,4,4
93061,1,1
123134,13,1
71585,5,4
87088,9,9
66974,4,5
121389,9,9
65616,14,14
60668,4,1
34652,1,1
20205,20,15
73952,22,22
101618,11,3
38473,4,4
575,8,8
13645,1,1
18396,4,4
100307,20,4
76402,4,4
100491,25,25
7320,20,24
82657,0,0
13433,4,4
73232,4,4
121841,9,4
77727,19,20
72457,24,5
55899,9,1
47125,4,6
43797,20,1
58678,4,22
47033,11,4
14529,8,1
65712,16,11
28086,5,10
87761,1,1
70157,25,4
92456,4,4
22835,1,1
114331,15,6
49564,7,25
56885,3,9
120041,9,11
89414,4,6
100015,4,4
110421,4,4
37887,23,4
44177,26,20
76315,4,9
23369,8,8
55518,1,1
43396,7,4
82401,25,25
116396,15,3
75155,4,4
108338,22,22
10039,4,26
55028,15,15
76496,1,4
44951,4,4
67366,4,4
121361,22,22
32787,12,3
54258,15,15
111966,20,25
98008,4,4
106051,24,24
49166,4,4
100763,1,1
115257,15,25
7395,9,9
98207,25,5
38125,4,4
61546,9,9
49880,1,1
77636,25,25
35346,6,1
8506,9,9
9636,4,4
75770,4,7
73534,13,13
80555,7,4
5346,12,12
24929,23,4
56716,4,4
27233,4,4
61403,25,25
76333,24,24
114810,11,11
105435,18,25
82695,1,9
11931,4,4
106577,4,4
58030,14,11
300,4,4
121251,4,4
121302,4,26
18965,1,6
119268,12,3
17954,25,25
103730,25,25
63812,0,4
51762,4,4
97893,23,1
37330,9,4
114900,5,25
97329,12,25
46616,7,7
26550,1,1
3580,4,4
67736,20,6
77494,27,20
6177,1,1
51521,27,12
19354,4,0
28852,4,4
103372,1,1
18994,1,4
102712,11,11
91243,25,1
40125,4,6
8033,1,1
60266,4,4
83188,20,20
117855,24,1
36810,3,9
16379,1,1
88026,0,6
57595,28,28
31053,25,16
28171,4,7
91978,4,4
77457,13,8
31776,1,1
18116,25,3
11459,4,4
39783,21,4
115177,1,7
121152,17,4
54095,21,10
49995,7,7
76933,15,25
89501,11,25
61766,9,9
41510,17,6
35818,4,4
38854,21,1
73397,1,20
92214,4,4
72136,23,25
84628,3,1
50059,10,1
73342,1,1
36755,4,4
7326,2,15
124202,25,11
34879,1,4
123767,4,4
58454,4,9
53052,4,4
56482,10,7
120122,23,4
27311,6,0
19368,15,15
24079,8,8
12786,16,20
72362,1,1
36635,22,22
97278,3,3
24786,25,25
55010,26,4
38869,4,4
90471,27,30
78020,9,9
84602,4,4
87553,1,1
30162,26,23
10085,7,4
60076,10,10
93866,4,4
4645,7,15
109210,11,11
21350,2,26
72366,15,1
43847,4,4
121891,1,1
42426,4,4
89141,23,25
40008,11,9
119677,25,25
30046,18,4
51751,9,4
112461,4,4
86768,4,4
31071,13,4
53963,13,4
102670,7,6
55343,11,11
31470,9,30
26373,6,10
43883,9,0
35850,4,4
113350,1,1
41362,4,4
100748,10,10
70462,4,4
97877,1,8
16240,9,9
73358,22,22
99859,28,3
36637,22,4
117465,7,25
27836,0,0
85308,4,4
63077,13,22
99565,23,4
53226,10,1
9351,4,4
96843,12,29
17095,2,26
59107,1,1
51180,21,30
42450,23,4
116310,11,1
78454,9,9
77490,4,4
36436,24,8
2211,4,4
114954,19,7
37015,21,1
105762,10,7
86452,1,1
86307,1,1
81356,4,4
10752,4,4
50280,4,9
98070,29,24
56495,1,1
122125,11,11
68846,4,4
78805,5,0
23325,4,4
70670,14,4
25969,4,4
120342,10,10
6541,4,4
31735,4,4
5428,4,4
81939,20,20
33475,1,0
90358,1,7
2327,4,4
60286,4,4
28384,26,4
85246,1,1
30444,9,9
69088,1,1
14616,20,20
49889,10,10
3899,4,4
35123,4,4
43009,4,4
114747,20,7
55957,26,3
2807,4,4
7112,3,7
49051,4,4
42117,20,25
106243,11,4
39311,4,4
8748,2,28
30160,26,4
112716,7,8
7519,2,15
47978,4,4
41389,18,4
1599,4,4
56415,28,3
8180,13,4
118710,22,11
81245,7,4
22998,25,25
29966,10,10
79349,8,25
110175,1,1
29634,6,3
90984,22,1
76662,4,4
82496,9,1
115940,25,25
12942,4,13
104773,22,22
80585,1,5
83880,4,4
78458,4,0
17318,5,1
56807,8,8
98130,1,1
95574,1,9
95092,30,4
109058,15,4
44625,11,11
90313,25,8
29342,6,6
91950,11,11
32978,23,3
49276,8,8
59501,20,20
28726,20,0
75659,16,4
2623,1,4
5548,2,2
79171,10,10
19101,4,6
11978,8,7
876,4,4
12072,20,25
86144,20,20
86169,8,1
117563,13,13
40798,26,26
118600,25,7
42798,21,1
22809,25,4
20266,8,8
58140,1,5
43580,8,4
112528,22,5
47677,0,8
46328,4,4
124400,22,7
98954,29,25
45593,4,7
55792,11,4
80701,8,1
110790,10,5
505,4,4
3182,6,6
55520,4,4
74818,1,1
56560,8,7
118383,4,7
109981,19,7
102891,23,4
124758,9,9
63977,22,22
57953,1,1
104190,4,4
87628,7,7
83437,28,4
113179,5,8
21355,2,2
88766,18,8
14247,9,9
91301,23,3
110803,4,4
51426,28,4
94009,30,7
108991,1,1
61835,11,4
94997,19,20
90511,3,25
82965,5,0
118942,28,28
13075,11,11
123440,20,4
4537,1,1
36851,1,1
36722,4,13
12528,4,4
68059,4,4
73612,6,4
52944,11,24
107581,3,3
109860,16,4
28651,11,4
87612,4,24
115839,1,1
46150,1,1
34988,4,4
4510,4,4
66419,4,4
71136,4,4
593,6,6
100877,24,7
99271,5,1
70217,4,4
97413,1,1
120770,9,30
107177,1,1
90657,1,1
81033,4,4
110569,8,1
105707,28,7
83416,1,1
119451,1,1
48909,26,26
95468,7,7
50183,4,4
31755,4,4
15315,3,4
28260,1,9
105876,11,11
108797,12,9
5326,4,4
104307,4,4
122737,18,11
39431,20,20
15742,4,4
117267,4,3
98874,27,25
100952,25,25
73435,29,25
54204,10,10
120779,18,3
35235,4,4
100640,4,4
67213,10,10
47586,4,4
56384,26,26
49622,26,7
1656,1,1
12898,4,4
108752,23,3
8256,7,0
121603,25,25
123242,12,12
91909,23,11
20017,10,10
109232,3,7
30840,6,25
34050,8,8
84465,25,11
111484,24,10
94466,15,15
123291,4,28
122747,1,7
57312,4,4
48315,13,13
75187,5,10
74196,10,10
81002,1,1
27479,4,4
20105,1,1
51906,1,1
121855,30,1
11588,4,4
35653,26,11
71311,3,1
120136,1,1
41518,14,25
51480,21,6
19741,4,4
81694,16,7
38198,21,1
83799,1,1
108488,11,11
116132,11,10
99910,11,4
123637,23,7
82849,9,1
111612,8,1
66933,22,22
80334,15,12
51289,5,13
69867,27,1
113195,4,4
47095,14,25
124807,4,4
50204,4,4
13973,1,1
93875,8,4
13343,4,4
105135,11,11
42055,4,4
52455,4,4
93754,1,1
112897,4,4
84841,6,20
7843,4,4
103763,13,13
89477,15,15
9122,17,1
77013,7,24
114389,7,24
29166,6,0
62378,4,4
45282,4,4
19419,24,25
118210,10,10
74680,23,0
20130,4,23
30742,4,4
58179,5,8
16126,23,4
19066,4,4
17688,4,4
40918,1,4
88625,4,4
19777,4,4
44993,26,26
110051,8,1
75657,4,0
2538,4,4
123702,15,15
59713,4,4
71961,22,9
18271,2,26
120172,1,1
30663,4,4
2540,1,4
40354,13,4
37974,4,4
56545,1,1
36339,21,4
33880,9,9
67247,4,4
31409,4,4
36605,8,8
117821,28,4
97571,7,22
78654,6,1
44660,1,1
118493,0,7
71850,9,9
24159,25,25
18509,4,4
81137,0,4
84756,10,10
56102,4,9
40939,25,4
99872,1,1
121383,28,26
55382,1,1
20485,1,1
35197,4,4
33836,4,1
96765,4,3
118649,7,25
77159,4,4
46127,4,4
86847,1,8
122417,22,1
6576,4,4
3049,0,1
100148,3,3
87747,30,3
33747,22,1
19574,11,7
24969,9,9
61163,1,1
6245,1,10
112927,25,25
35078,4,4
111084,4,9
109801,28,4
20696,2,13
87452,24,7
71467,1,1
89330,28,20
50963,1,1
24891,1,6
24483,4,4
39508,25,25
68829,4,4
8062,1,1
69514,4,9
59828,13,13
77588,4,4
67898,22,1
16522,20,25
92198,17,7
62724,4,4
94695,15,15
104541,25,29
84169,1,4
51623,6,1
2320,4,4
1938,1,1
65114,4,4
120842,16,8
5175,1,1
27767,4,4
115051,13,25
87184,4,4
23337,9,4
69742,13,26
28819,26,4
106282,7,9
32902,25,25
91572,30,1
105443,0,28
53477,22,7
49603,5,20
87559,11,11
54889,4,4
101127,23,3
117288,9,9
73760,25,25
78637,20,20
5061,10,10
25655,4,4
61132,4,4
112125,28,4
35487,22,1
5215,10,10
13141,8,1
111747,24,10
50458,26,26
114560,4,20
99414,9,1
73422,1,4
85740,1,1
113291,28,28
64144,14,25
11803,4,4
124084,11,4
108273,1,25
44641,1,6
81280,27,0
61620,4,4
38583,25,6
77020,27,20
12070,1,0
66447,13,13
45872,20,25
72987,22,22
12246,24,1
118608,27,30
119666,25,7
3241,8,4
23628,8,8
104802,11,11
37061,4,6
34777,4,4
72707,16,0
113662,10,10
22685,24,24
97025,27,7
87016,24,24
14477,4,4
106095,11,11
13195,2,26
42872,0,4
56163,4,4
80844,15,28
118811,28,4
85060,10,7
86922,28,26
62360,4,4
84199,4,6
2165,1,1
17656,9,9
27198,1,1
118964,4,1
76531,16,5
109997,25,25
54461,5,7
99078,30,25
86537,4,23
36377,4,4
124246,13,26
27680,18,20
36305,9,9
97545,0,4
60192,13,4
35718,8,7
14120,2,26
67371,24,24
104377,25,25
78838,5,4
90733,1,1
45157,20,4
46066,26,28
85619,4,4
117200,4,4
119681,3,10
98586,11,4
79894,16,8
40195,1,1
8688,1,1
105452,5,5
68753,4,4
17269,4,4
96305,28,26
88042,25,24
106555,16,1
116379,27,4
80796,13,13
56012,21,1
30168,4,4
21436,4,4
66607,5,5
50850,4,8
44694,5,3
70758,10,13
22384,17,4
85809,7,10
29413,26,4
139,5,4
94863,20,20
42862,9,9
120267,28,28
53360,26,4
60055,11,11
37016,8,20
3287,1,1
100383,18,3
58403,15,15
79136,0,1
44500,10,10
12560,5,4
8739,1,1
123042,22,22
49580,6,15
10970,20,20
99638,27,17
85146,13,13
31534,4,4
62935,13,4
8667,0,0
118288,27,0
116776,28,3
55564,6,6
6916,9,1
110554,9,9
42705,26,4
15872,4,25
69347,13,26
95013,11,11
7215,1,1
124018,25,14
33943,26,26
69071,22,22
78409,23,28
34464,11,4
99118,4,4
103758,23,4
16520,1,1
120447,20,25
62872,6,10
28348,1,6
66006,23,25
10829,4,4
42357,1,6
26220,22,4
40987,4,23
117105,12,7
55966,25,25
74494,4,4
114455,1,1
68227,13,13
15976,9,9
30263,4,8
105370,1,7
83975,22,4
38406,3,3
21549,9,1
40019,6,6
93455,25,7
72951,20,20
79755,0,0
120549,20,20
103887,25,11
105177,20,25
77357,5,8
51950,11,11
7336,4,4
89655,28,4
73457,25,25
37878,4,13
57403,4,4
87569,4,4
15774,4,4
13741,4,4
52490,1,1
67457,4,4
7119,1,1
17723,4,4
18308,6,4
33199,21,29
38582,4,4
52117,15,15
67676,4,4
17917,0,0
92832,28,4
25502,5,5
82364,27,4
5464,4,16
92857,23,3
53131,25,25
63606,4,4
6399,0,0
45545,11,11
122968,6,10
12187,4,4
81117,4,4
76168,22,1
12253,8,1
79480,6,6
117827,1,1
11265,4,4
18418,6,4
98270,19,11
11402,25,16
122297,11,11
90459,25,25
54136,10,1
20864,1,1
76826,4,4
42518,17,4
1592,13,4
69882,8,30
4704,4,4
109980,29,30
87712,1,27
42198,11,11
9209,4,4
34331,4,4
52677,4,4
87255,11,11
31043,23,4
81357,8,1
81771,10,1
80321,5,0
65770,17,0
115946,12,1
105245,4,4
543,17,4
91932,27,20
68110,4,7
60256,4,4
65652,4,25
16078,6,6
71528,4,4
39154,4,4
5488,10,10
101269,8,1
102465,4,4
61366,26,2
71946,4,4
68727,1,1
66847,4,4
64392,4,4
16755,13,4
33091,6,6
11114,4,4
115222,25,25
25967,4,4
102882,28,26
47504,27,25
50376,4,4
108104,25,25
101051,4,4
124814,10,10
119038,11,4
32581,7,11
107614,0,0
54789,9,9
104774,12,7
15694,1,1
24733,4,4
124160,30,8
30175,10,10
108093,1,1
105755,15,15
97129,12,4
124270,11,11
3310,4,4
24069,4,4
113043,25,25
11863,4,4
25195,6,6
113368,3,15
26626,4,1
113841,22,22
18237,1,1
963,4,4
25157,4,4
33900,4,4
95509,12,11
26147,26,4
44831,4,4
56426,4,4
108232,10,6
100017,1,1
109585,0,4
29217,25,25
99063,11,4
121457,25,25
33,4,15
12966,4,4
87574,4,4
117170,29,20
102323,15,7
74512,4,4
53791,16,16
63149,14,11
66482,1,1
101811,4,4
25983,4,11
106431,29,11
57722,4,4
47694,0,0
77884,17,4
92873,7,3
57837,4,4
27513,4,25
31615,1,1
32020,4,4
19903,9,9
123988,4,4
82407,8,8
20772,18,30
113730,28,11
40359,26,28
99695,20,3
1841,1,1
60404,4,4
101016,28,28
48278,4,4
6452,4,4
39598,1,1
57567,26,26
17971,1,1
51343,4,11
21656,4,4
24375,2,26
111374,25,25
72375,13,11
328,4,4
20763,22,4
112888,12,1
71800,14,25
118707,22,1
87305,4,4
90831,10,27
121135,20,25
120762,24,24
42739,1,8
110339,28,28
113111,8,4
65144,1,1
106210,20,20
34338,4,4
72422,4,4
