,true_category,predicted_category
72252,4,4
2502,1,1
58319,4,4
45403,1,1
98963,25,25
71475,9,9
97111,8,8
72507,1,1
112745,22,22
29531,26,26
59457,18,18
39755,4,4
108690,11,11
45989,6,6
99934,3,3
28977,4,4
76236,4,4
103519,4,4
19484,25,25
34615,1,1
80515,1,1
83699,13,13
54456,26,26
108784,11,11
79814,11,11
83431,1,1
3955,4,4
55722,4,3
73320,10,10
56353,4,4
39835,26,26
62892,6,6
14222,1,1
13041,4,4
2572,7,1
54864,21,21
74623,26,26
88362,3,20
48057,21,6
62797,21,21
35831,22,22
29417,12,12
55348,7,7
91363,9,9
41934,1,1
980,1,1
67134,4,4
69601,10,10
43301,4,4
94444,9,9
54602,4,4
7879,4,4
124706,25,25
89371,7,7
11212,4,4
94264,11,11
57617,4,4
30217,4,4
67128,4,4
98507,28,28
37691,21,21
4404,0,0
674,2,2
4656,6,6
78317,6,6
99529,28,28
53234,26,26
2891,6,6
59981,28,4
96442,7,7
121622,25,25
103326,11,11
46862,4,20
94882,1,1
60767,1,1
70489,18,18
9410,1,1
82260,4,4
82417,4,4
8579,1,1
37286,7,7
49091,4,4
83228,4,4
117721,15,15
45880,4,4
36658,4,4
107910,30,30
55086,9,9
70299,21,21
44753,1,4
89347,15,15
66383,4,4
112411,1,1
111787,13,13
11897,4,4
58158,4,4
64294,8,8
100113,24,24
37053,21,21
115093,23,23
84424,1,1
34270,26,26
31640,4,4
99549,11,11
58429,7,7
5614,9,9
30886,1,1
53313,1,1
74059,10,10
59425,8,8
1472,17,1
75092,27,20
51325,26,26
9631,4,4
49363,20,20
35683,23,23
101792,3,3
68671,1,1
5996,4,4
66570,14,14
113203,1,1
7164,1,1
226,0,0
105665,25,25
26002,2,2
90905,1,1
78098,10,10
90379,1,1
31731,10,10
6048,6,6
79816,23,23
54107,5,5
15478,4,4
8008,10,10
83917,4,4
12601,23,4
15346,8,4
121325,4,4
70142,21,21
56191,4,4
72543,10,10
74775,16,16
50194,7,7
78983,11,11
62640,4,7
86460,1,1
83571,8,1
117743,12,12
119141,4,4
46186,16,16
29353,25,25
69949,4,7
116197,25,24
84073,1,1
59947,26,26
124867,10,10
115749,1,1
69589,4,4
31241,6,6
44599,25,25
886,8,8
67236,5,5
66659,4,4
86084,1,1
69301,5,5
81328,1,1
40061,1,1
84456,1,1
10883,4,4
85138,27,27
90813,30,30
107474,4,4
15990,25,25
7623,1,1
30874,8,1
55995,4,4
82414,16,25
68988,6,6
41479,1,22
102289,11,11
106817,11,25
17293,15,15
113850,11,11
98432,6,6
74093,23,23
70622,0,0
5772,4,2
10120,20,20
40171,23,23
33873,8,25
75865,25,25
57686,26,23
87357,12,12
30356,4,4
28825,8,8
120102,23,23
40895,4,4
43134,4,4
94980,25,25
25709,17,17
2683,4,4
33869,6,6
804,4,4
39665,26,26
103713,0,0
100130,20,3
70860,25,25
35875,1,1
105377,11,11
105636,3,3
67605,10,10
66898,11,11
99807,20,20
118253,11,11
13659,10,10
5789,17,17
115319,27,27
632,4,4
47992,13,4
41727,22,4
29762,23,23
40203,26,26
15415,25,25
12783,4,4
21054,4,4
49991,3,3
66925,10,10
42067,25,25
54630,6,6
13585,1,1
41344,26,26
78449,26,26
22915,25,25
68277,1,1
13912,1,1
63817,4,4
18136,4,4
47868,4,13
50856,10,10
646,4,4
100189,3,3
76753,14,14
59250,8,8
24572,4,28
39444,1,1
1043,4,4
98734,19,19
1176,6,6
74835,22,22
24824,25,25
118055,28,28
59678,4,4
72548,1,1
18694,4,4
83875,1,1
4118,4,4
114847,4,4
32586,1,1
106352,11,11
28105,11,4
91880,18,18
97689,19,19
76191,1,1
40101,4,4
99793,16,16
81592,1,1
61000,4,4
8449,9,9
113263,1,1
89748,23,23
62367,0,0
124267,22,22
123907,25,25
43171,21,21
38976,1,1
73912,10,10
112928,30,30
41657,4,4
69850,26,26
28009,4,13
53571,26,26
122653,23,5
88341,1,1
44395,21,21
62608,4,4
66032,16,16
60025,4,4
61650,17,17
17471,4,4
28256,1,1
19516,6,6
122127,13,13
54141,5,5
34342,4,4
37791,9,9
119705,20,20
60331,4,4
36770,1,1
94556,4,26
47463,4,4
66364,4,4
103066,30,30
79559,11,11
8676,21,21
6363,4,4
101877,28,28
43488,4,4
61067,8,8
124498,29,29
20371,15,15
18952,9,9
112068,1,1
15635,9,9
78450,4,4
35452,4,4
12847,2,2
104100,8,8
110142,7,7
106407,12,12
54696,26,26
15891,1,1
33396,4,4
23764,4,4
67767,4,4
61961,5,4
14949,4,4
105233,20,20
33192,22,22
81123,4,4
28980,6,6
90939,29,29
56484,4,4
96300,30,9
97833,11,11
40060,4,4
38137,1,1
83082,16,16
92332,28,28
100747,30,30
96807,4,4
30768,26,26
105775,29,29
62879,4,4
27379,4,4
118241,11,11
66910,4,4
122664,22,22
50266,26,26
36450,4,4
79340,1,4
75643,0,0
119658,22,22
74267,13,13
88871,25,25
102801,29,1
110908,11,11
122924,25,25
120422,6,6
95124,11,11
15294,2,2
109552,15,15
64452,25,25
19936,2,2
39036,3,1
96902,30,30
18102,1,1
73574,0,0
19384,1,1
104629,9,9
22858,2,26
112611,11,11
109774,25,25
46457,28,28
93121,25,25
113800,22,22
122405,4,4
35478,4,4
91822,7,20
17520,2,2
120712,12,12
17496,4,4
109315,9,9
55484,4,4
53980,1,1
38995,21,21
62706,4,4
95483,27,27
4293,1,4
27660,0,0
73859,4,4
17415,2,2
68030,4,4
18880,20,20
59157,10,10
74605,4,4
14336,8,8
103195,25,25
68239,6,6
55081,0,4
2231,4,4
112546,30,30
2532,2,2
71529,4,4
83426,29,29
73751,14,14
55224,4,4
80487,14,14
65872,11,11
80995,4,4
9482,8,4
87021,22,22
122770,29,11
10032,4,4
120486,28,28
68286,13,13
19964,4,4
3245,4,4
44915,4,4
48678,9,9
110653,24,24
42258,6,6
72423,4,4
51849,20,4
7864,17,17
35508,4,4
85252,15,15
27070,4,4
104420,25,25
33293,23,23
97534,11,11
73371,4,6
82118,17,17
93745,4,4
27741,8,8
87683,4,4
9709,1,1
101362,15,15
114408,3,3
93251,4,4
13756,1,1
31141,4,4
77335,16,16
113901,12,12
79820,4,4
101399,1,1
88809,0,0
85876,4,4
99629,7,7
12600,4,4
61746,23,23
15881,3,3
29226,5,5
22851,2,2
46544,4,4
28509,24,24
34257,4,4
96860,25,25
105448,8,8
90252,24,24
51394,10,10
35761,4,4
76766,4,4
82491,13,13
60407,1,1
74957,4,4
114113,12,12
75894,0,4
123417,25,25
107976,5,5
67544,1,1
61548,11,11
34957,4,4
38093,4,4
85268,1,1
95877,30,30
60567,29,29
62928,1,1
102767,20,20
32301,26,26
54398,16,16
69849,26,26
120349,6,6
77304,8,8
100617,1,1
12650,13,13
115275,4,4
41027,10,10
94199,11,11
77768,4,4
78324,4,4
122140,11,11
47923,10,10
11699,4,4
101943,28,28
18686,4,4
2071,8,8
107429,11,11
44123,4,4
86042,19,19
59146,25,25
85996,20,20
109526,25,25
124010,8,8
70165,24,24
41752,3,3
75027,4,4
27263,15,15
87572,4,4
100751,25,25
50905,18,18
48337,4,4
13035,23,23
97389,1,1
91584,4,4
26767,9,9
85290,10,10
105803,15,15
101395,30,30
13557,2,4
74098,9,25
27895,4,4
413,4,4
59373,4,4
79639,4,4
97902,30,30
69140,4,4
16789,4,4
88784,4,4
118777,4,4
119215,4,4
62454,11,4
52427,21,21
470,4,4
93369,11,11
50134,26,26
35703,9,9
117176,29,29
45492,4,4
68218,4,4
120815,1,1
84919,8,8
10672,4,4
69149,14,14
75013,23,23
47781,4,4
59071,27,27
48491,1,1
64730,4,4
93061,1,1
123134,13,1
71585,5,5
87088,9,9
66974,4,14
121389,9,9
65616,14,14
60668,4,4
34652,1,1
20205,20,15
73952,22,22
101618,11,4
38473,4,4
575,8,8
13645,1,1
18396,4,4
100307,20,4
76402,4,4
100491,25,25
7320,20,20
82657,0,0
13433,4,4
73232,4,4
121841,9,9
77727,19,19
72457,24,24
55899,9,9
47125,4,6
43797,20,20
58678,4,4
47033,11,11
14529,8,8
65712,16,16
28086,5,5
87761,1,1
70157,25,25
92456,4,4
22835,1,1
114331,15,15
49564,7,7
56885,3,3
120041,9,9
89414,4,6
100015,4,4
110421,4,28
37887,23,4
44177,26,26
76315,4,4
23369,8,8
55518,1,1
43396,7,7
82401,25,25
116396,15,15
75155,4,4
108338,22,22
10039,4,4
55028,15,9
76496,1,4
44951,4,4
67366,4,4
121361,22,22
32787,12,12
54258,15,15
111966,20,25
98008,4,4
106051,24,24
49166,4,4
100763,1,1
115257,15,25
7395,9,9
98207,25,25
38125,4,4
61546,9,9
49880,1,1
77636,25,25
35346,6,6
8506,9,9
9636,4,4
75770,4,4
73534,13,13
80555,7,7
5346,12,12
24929,23,23
56716,4,4
27233,4,4
61403,25,25
76333,24,24
114810,11,11
105435,18,25
82695,1,1
11931,4,4
106577,4,4
58030,14,14
300,4,4
121251,4,4
121302,4,28
18965,1,6
119268,12,12
17954,25,25
103730,25,25
63812,0,0
51762,4,4
97893,23,23
37330,9,9
114900,5,5
97329,12,12
46616,7,7
26550,1,1
3580,4,4
67736,20,6
77494,27,27
6177,1,1
51521,27,11
19354,4,4
28852,4,4
103372,1,1
18994,1,1
102712,11,11
91243,25,25
40125,4,4
8033,1,1
60266,4,4
83188,20,20
117855,24,1
36810,3,23
16379,1,1
88026,0,0
57595,28,28
31053,25,25
28171,4,4
91978,4,4
77457,13,4
31776,1,1
18116,25,25
11459,4,4
39783,21,4
115177,1,1
121152,17,4
54095,21,21
49995,7,7
76933,15,15
89501,11,11
61766,9,9
41510,17,17
35818,4,4
38854,21,1
73397,1,1
92214,4,4
72136,23,23
84628,3,3
50059,10,10
73342,1,1
36755,4,4
7326,2,2
124202,25,25
34879,1,1
123767,4,4
58454,4,4
53052,4,4
56482,10,10
120122,23,23
27311,6,6
19368,15,15
24079,8,8
12786,16,16
72362,1,1
36635,22,22
97278,3,3
24786,25,25
55010,26,26
38869,4,4
90471,27,27
78020,9,9
84602,4,4
87553,1,1
30162,26,26
10085,7,7
60076,10,10
93866,4,4
4645,7,15
109210,11,11
21350,2,4
72366,15,15
43847,4,4
121891,1,1
42426,4,4
89141,23,23
40008,11,11
119677,25,25
30046,18,18
51751,9,9
112461,4,4
86768,4,4
31071,13,4
53963,13,13
102670,7,7
55343,11,11
31470,9,9
26373,6,6
43883,9,9
35850,4,4
113350,1,1
41362,4,4
100748,10,10
70462,4,4
97877,1,1
16240,9,9
73358,22,22
99859,28,28
36637,22,4
117465,7,7
27836,0,0
85308,4,4
63077,13,22
99565,23,23
53226,10,1
9351,4,4
96843,12,12
17095,2,2
59107,1,1
51180,21,21
42450,23,4
116310,11,11
78454,9,9
77490,4,4
36436,24,24
2211,4,4
114954,19,19
37015,21,21
105762,10,10
86452,1,1
86307,1,1
81356,4,4
10752,4,4
50280,4,4
98070,29,29
56495,1,1
122125,11,11
68846,4,4
78805,5,5
23325,4,4
70670,14,14
25969,4,4
120342,10,10
6541,4,4
31735,4,4
5428,4,4
81939,20,20
33475,1,1
90358,1,1
2327,4,4
60286,4,4
28384,26,26
85246,1,1
30444,9,9
69088,1,1
14616,20,20
49889,10,10
3899,4,4
35123,4,4
43009,4,4
114747,20,20
55957,26,26
2807,4,4
7112,3,17
49051,4,4
42117,20,20
106243,11,11
39311,4,4
8748,2,2
30160,26,4
112716,7,7
7519,2,2
47978,4,4
41389,18,18
1599,4,4
56415,28,3
8180,13,4
118710,22,22
81245,7,9
22998,25,25
29966,10,10
79349,8,8
110175,1,1
29634,6,6
90984,22,22
76662,4,4
82496,9,9
115940,25,25
12942,4,4
104773,22,22
80585,1,1
83880,4,4
78458,4,4
17318,5,5
56807,8,8
98130,1,1
95574,1,1
95092,30,30
109058,15,15
44625,11,11
90313,25,25
29342,6,6
91950,11,11
32978,23,23
49276,8,8
59501,20,20
28726,20,20
75659,16,16
2623,1,1
5548,2,2
79171,10,10
19101,4,4
11978,8,8
876,4,4
12072,20,20
86144,20,20
86169,8,8
117563,13,13
40798,26,26
118600,25,22
42798,21,21
22809,25,25
20266,8,8
58140,1,1
43580,8,4
112528,22,22
47677,0,22
46328,4,4
124400,22,22
98954,29,29
45593,4,4
55792,11,11
80701,8,8
110790,10,10
505,4,4
3182,6,6
55520,4,4
74818,1,1
56560,8,8
118383,4,7
109981,19,19
102891,23,23
124758,9,9
63977,22,22
57953,1,1
104190,4,4
87628,7,7
83437,28,28
113179,5,5
21355,2,2
88766,18,18
14247,9,9
91301,23,23
110803,4,4
51426,28,28
94009,30,30
108991,1,1
61835,11,11
94997,19,19
90511,3,3
82965,5,5
118942,28,28
13075,11,11
123440,20,20
4537,1,1
36851,1,1
36722,4,4
12528,4,4
68059,4,8
73612,6,6
52944,11,11
107581,3,3
109860,16,16
28651,11,11
87612,4,4
115839,1,1
46150,1,1
34988,4,4
4510,4,4
66419,4,4
71136,4,4
593,6,6
100877,24,24
99271,5,5
70217,4,4
97413,1,1
120770,9,9
107177,1,1
90657,1,1
81033,4,4
110569,8,8
105707,28,28
83416,1,1
119451,1,1
48909,26,26
95468,7,7
50183,4,4
31755,4,4
15315,3,4
28260,1,1
105876,11,11
108797,12,12
5326,4,4
104307,4,4
122737,18,18
39431,20,20
15742,4,4
117267,4,4
98874,27,27
100952,25,25
73435,29,29
54204,10,10
120779,18,18
35235,4,4
100640,4,4
67213,10,10
47586,4,4
56384,26,26
49622,26,26
1656,1,1
12898,4,4
108752,23,23
8256,7,0
121603,25,25
123242,12,12
91909,23,23
20017,10,10
109232,3,3
30840,6,6
34050,8,8
84465,25,25
111484,24,24
94466,15,15
123291,4,4
122747,1,1
57312,4,4
48315,13,13
75187,5,5
74196,10,10
81002,1,1
27479,4,4
20105,1,1
51906,1,1
121855,30,30
11588,4,4
35653,26,26
71311,3,20
120136,1,1
41518,14,14
51480,21,21
19741,4,4
81694,16,16
38198,21,21
83799,1,1
108488,11,11
116132,11,11
99910,11,11
123637,23,23
82849,9,9
111612,8,8
66933,22,22
80334,15,15
51289,5,5
69867,27,27
113195,4,4
47095,14,14
124807,4,4
50204,4,4
13973,1,1
93875,8,8
13343,4,4
105135,11,11
42055,4,4
52455,4,4
93754,1,1
112897,4,4
84841,6,6
7843,4,4
103763,13,13
89477,15,15
9122,17,17
77013,7,7
114389,7,8
29166,6,6
62378,4,4
45282,4,4
19419,24,24
118210,10,10
74680,23,27
20130,4,4
30742,4,4
58179,5,5
16126,23,23
19066,4,4
17688,4,4
40918,1,8
88625,4,4
19777,4,4
44993,26,26
110051,8,8
75657,4,4
2538,4,4
123702,15,15
59713,4,4
71961,22,22
18271,2,4
120172,1,1
30663,4,4
2540,1,1
40354,13,13
37974,4,4
56545,1,1
36339,21,21
33880,9,9
67247,4,4
31409,4,4
36605,8,8
117821,28,28
97571,7,7
78654,6,6
44660,1,1
118493,0,0
71850,9,9
24159,25,25
18509,4,4
81137,0,4
84756,10,10
56102,4,9
40939,25,4
99872,1,1
121383,28,28
55382,1,1
20485,1,1
35197,4,4
33836,4,4
96765,4,4
118649,7,7
77159,4,4
46127,4,4
86847,1,1
122417,22,22
6576,4,4
3049,0,0
100148,3,3
87747,30,12
33747,22,22
19574,11,11
24969,9,9
61163,1,1
6245,1,1
112927,25,25
35078,4,4
111084,4,4
109801,28,28
20696,2,2
87452,24,24
71467,1,1
89330,28,28
50963,1,1
24891,1,1
24483,4,4
39508,25,25
68829,4,4
8062,1,1
69514,4,4
59828,13,13
77588,4,4
67898,22,22
16522,20,20
92198,17,17
62724,4,4
94695,15,15
104541,25,25
84169,1,4
51623,6,6
2320,4,4
1938,1,1
65114,4,4
120842,16,16
5175,1,1
27767,4,4
115051,13,13
87184,4,4
23337,9,4
69742,13,13
28819,26,26
106282,7,7
32902,25,25
91572,30,30
105443,0,0
53477,22,22
49603,5,5
87559,11,11
54889,4,4
101127,23,23
117288,9,9
73760,25,25
78637,20,20
5061,10,10
25655,4,4
61132,4,4
112125,28,4
35487,22,22
5215,10,10
13141,8,1
111747,24,24
50458,26,26
114560,4,4
99414,9,9
73422,1,4
85740,1,1
113291,28,28
64144,14,12
11803,4,4
124084,11,4
108273,1,1
44641,1,1
81280,27,27
61620,4,4
38583,25,25
77020,27,27
12070,1,0
66447,13,13
45872,20,25
72987,22,22
12246,24,24
118608,27,27
119666,25,25
3241,8,8
23628,8,8
104802,11,11
37061,4,4
34777,4,4
72707,16,16
113662,10,10
22685,24,24
97025,27,27
87016,24,24
14477,4,4
106095,11,11
13195,2,2
42872,0,4
56163,4,4
80844,15,15
118811,28,4
85060,10,10
86922,28,28
62360,4,4
84199,4,4
2165,1,1
17656,9,9
27198,1,1
118964,4,4
76531,16,16
109997,25,25
54461,5,5
99078,30,30
86537,4,4
36377,4,4
124246,13,13
27680,18,18
36305,9,9
97545,0,4
60192,13,13
35718,8,8
14120,2,2
67371,24,24
104377,25,25
78838,5,5
90733,1,1
45157,20,4
46066,26,26
85619,4,4
117200,4,4
119681,3,3
98586,11,11
79894,16,16
40195,1,1
8688,1,1
105452,5,5
68753,4,4
17269,4,4
96305,28,28
88042,25,25
106555,16,16
116379,27,27
80796,13,13
56012,21,1
30168,4,4
21436,4,4
66607,5,5
50850,4,4
44694,5,5
70758,10,10
22384,17,4
85809,7,7
29413,26,26
139,5,5
94863,20,20
42862,9,9
120267,28,28
53360,26,26
60055,11,11
37016,8,8
3287,1,1
100383,18,18
58403,15,15
79136,0,0
44500,10,10
12560,5,5
8739,1,1
123042,22,22
49580,6,6
10970,20,20
99638,27,27
85146,13,13
31534,4,4
62935,13,13
8667,0,0
118288,27,25
116776,28,28
55564,6,6
6916,9,9
110554,9,9
42705,26,4
15872,4,4
69347,13,13
95013,11,11
7215,1,1
124018,25,25
33943,26,26
69071,22,22
78409,23,23
34464,11,11
99118,4,4
103758,23,23
16520,1,1
120447,20,25
62872,6,6
28348,1,1
66006,23,23
10829,4,4
42357,1,1
26220,22,22
40987,4,4
117105,12,12
55966,25,25
74494,4,4
114455,1,1
68227,13,13
15976,9,9
30263,4,4
105370,1,1
83975,22,4
38406,3,25
21549,9,9
40019,6,6
93455,25,8
72951,20,20
79755,0,0
120549,20,20
103887,25,25
105177,20,20
77357,5,5
51950,11,11
7336,4,4
89655,28,28
73457,25,25
37878,4,4
57403,4,4
87569,4,4
15774,4,4
13741,4,4
52490,1,1
67457,4,4
7119,1,1
17723,4,4
18308,6,4
33199,21,21
38582,4,4
52117,15,15
67676,4,4
17917,0,0
92832,28,28
25502,5,5
82364,27,27
5464,4,25
92857,23,23
53131,25,25
63606,4,4
6399,0,0
45545,11,11
122968,6,6
12187,4,4
81117,4,4
76168,22,22
12253,8,8
79480,6,6
117827,1,1
11265,4,4
18418,6,6
98270,19,19
11402,25,25
122297,11,11
90459,25,25
54136,10,10
20864,1,1
76826,4,4
42518,17,17
1592,13,4
69882,8,1
4704,4,4
109980,29,29
87712,1,1
42198,11,11
9209,4,4
34331,4,4
52677,4,4
87255,11,11
31043,23,23
81357,8,1
81771,10,10
80321,5,5
65770,17,17
115946,12,12
105245,4,4
543,17,17
91932,27,27
68110,4,7
60256,4,4
65652,4,25
16078,6,6
71528,4,4
39154,4,4
5488,10,10
101269,8,8
102465,4,4
61366,26,26
71946,4,4
68727,1,1
66847,4,4
64392,4,4
16755,13,4
33091,6,6
11114,4,4
115222,25,25
25967,4,4
102882,28,28
47504,27,25
50376,4,4
108104,25,25
101051,4,4
124814,10,10
119038,11,4
32581,7,7
107614,0,0
54789,9,9
104774,12,4
15694,1,1
24733,4,4
124160,30,30
30175,10,10
108093,1,1
105755,15,15
97129,12,12
124270,11,11
3310,4,4
24069,4,4
113043,25,25
11863,4,4
25195,6,6
113368,3,3
26626,4,4
113841,22,22
18237,1,1
963,4,4
25157,4,4
33900,4,4
95509,12,12
26147,26,26
44831,4,4
56426,4,4
108232,10,6
100017,1,1
109585,0,0
29217,25,25
99063,11,11
121457,25,25
33,4,4
12966,4,4
87574,4,4
117170,29,29
102323,15,15
74512,4,4
53791,16,16
63149,14,14
66482,1,1
101811,4,4
25983,4,4
106431,29,29
57722,4,4
47694,0,0
77884,17,17
92873,7,7
57837,4,4
27513,4,25
31615,1,1
32020,4,4
19903,9,9
123988,4,4
82407,8,8
20772,18,18
113730,28,28
40359,26,26
99695,20,20
1841,1,1
60404,4,4
101016,28,28
48278,4,4
6452,4,4
39598,1,1
57567,26,26
17971,1,1
51343,4,4
21656,4,4
24375,2,2
111374,25,25
72375,13,13
328,4,4
20763,22,22
112888,12,12
71800,14,14
118707,22,22
87305,4,4
90831,10,10
121135,20,20
120762,24,24
42739,1,1
110339,28,28
113111,8,8
65144,1,1
106210,20,20
34338,4,4
72422,4,4
