,true_category,predicted_category
72252,4,4
2502,1,1
58319,4,4
45403,1,1
98963,25,4
71475,9,4
97111,8,4
72507,1,1
112745,22,1
29531,26,4
59457,18,4
39755,4,4
108690,11,4
45989,6,4
99934,3,4
28977,4,4
76236,4,4
103519,4,4
19484,25,4
34615,1,1
80515,1,1
83699,13,4
54456,26,4
108784,11,4
79814,11,4
83431,1,1
3955,4,4
55722,4,4
73320,10,4
56353,4,4
39835,26,4
62892,6,1
14222,1,1
13041,4,4
2572,7,4
54864,21,1
74623,26,4
88362,3,4
48057,21,1
62797,21,4
35831,22,4
29417,12,4
55348,7,4
91363,9,4
41934,1,4
980,1,1
67134,4,4
69601,10,1
43301,4,4
94444,9,9
54602,4,4
7879,4,4
124706,25,4
89371,7,4
11212,4,4
94264,11,4
57617,4,4
30217,4,4
67128,4,4
98507,28,4
37691,21,4
4404,0,4
674,2,4
4656,6,4
78317,6,4
99529,28,4
53234,26,4
2891,6,4
59981,28,4
96442,7,4
121622,25,4
103326,11,4
46862,4,4
94882,1,4
60767,1,4
70489,18,4
9410,1,1
82260,4,4
82417,4,4
8579,1,4
37286,7,4
49091,4,4
83228,4,4
117721,15,4
45880,4,4
36658,4,4
107910,30,1
55086,9,4
70299,21,1
44753,1,4
89347,15,4
66383,4,4
112411,1,4
111787,13,4
11897,4,4
58158,4,4
64294,8,4
100113,24,4
37053,21,4
115093,23,4
84424,1,1
34270,26,4
31640,4,4
99549,11,4
58429,7,4
5614,9,1
30886,1,1
53313,1,1
74059,10,1
59425,8,4
1472,17,4
75092,27,1
51325,26,4
9631,4,4
49363,20,4
35683,23,4
101792,3,4
68671,1,1
5996,4,4
66570,14,4
113203,1,1
7164,1,1
226,0,4
105665,25,4
26002,2,4
90905,1,1
78098,10,4
90379,1,4
31731,10,4
6048,6,4
79816,23,4
54107,5,4
15478,4,4
8008,10,4
83917,4,4
12601,23,4
15346,8,4
121325,4,4
70142,21,1
56191,4,4
72543,10,4
74775,16,4
50194,7,4
78983,11,4
62640,4,4
86460,1,1
83571,8,1
117743,12,4
119141,4,4
46186,16,4
29353,25,4
69949,4,4
116197,25,4
84073,1,1
59947,26,4
124867,10,4
115749,1,1
69589,4,4
31241,6,4
44599,25,4
886,8,4
67236,5,4
66659,4,4
86084,1,4
69301,5,4
81328,1,1
40061,1,4
84456,1,1
10883,4,4
85138,27,4
90813,30,1
107474,4,4
15990,25,4
7623,1,1
30874,8,1
55995,4,4
82414,16,4
68988,6,4
41479,1,1
102289,11,4
106817,11,4
17293,15,4
113850,11,4
98432,6,4
74093,23,4
70622,0,4
5772,4,4
10120,20,4
40171,23,4
33873,8,4
75865,25,4
57686,26,4
87357,12,4
30356,4,4
28825,8,4
120102,23,4
40895,4,4
43134,4,4
94980,25,4
25709,17,4
2683,4,4
33869,6,4
804,4,4
39665,26,4
103713,0,4
100130,20,4
70860,25,4
35875,1,4
105377,11,4
105636,3,4
67605,10,4
66898,11,4
99807,20,4
118253,11,4
13659,10,1
5789,17,4
115319,27,4
632,4,4
47992,13,4
41727,22,4
29762,23,4
40203,26,4
15415,25,4
12783,4,4
21054,4,4
49991,3,4
66925,10,4
42067,25,4
54630,6,4
13585,1,1
41344,26,4
78449,26,4
22915,25,4
68277,1,1
13912,1,4
63817,4,4
18136,4,4
47868,4,4
50856,10,4
646,4,4
100189,3,4
76753,14,4
59250,8,4
24572,4,4
39444,1,1
1043,4,4
98734,19,4
1176,6,4
74835,22,1
24824,25,4
118055,28,4
59678,4,4
72548,1,4
18694,4,4
83875,1,1
4118,4,4
114847,4,4
32586,1,1
106352,11,4
28105,11,4
91880,18,4
97689,19,4
76191,1,1
40101,4,4
99793,16,4
81592,1,1
61000,4,4
8449,9,1
113263,1,4
89748,23,4
62367,0,4
124267,22,4
123907,25,4
43171,21,4
38976,1,1
73912,10,4
112928,30,4
41657,4,4
69850,26,4
28009,4,4
53571,26,4
122653,23,4
88341,1,1
44395,21,4
62608,4,4
66032,16,4
60025,4,4
61650,17,4
17471,4,4
28256,1,1
19516,6,4
122127,13,4
54141,5,4
34342,4,4
37791,9,4
119705,20,4
60331,4,4
36770,1,1
94556,4,4
47463,4,4
66364,4,4
103066,30,4
79559,11,4
8676,21,4
6363,4,4
101877,28,4
43488,4,4
61067,8,4
124498,29,1
20371,15,4
18952,9,4
112068,1,4
15635,9,4
78450,4,4
35452,4,4
12847,2,4
104100,8,4
110142,7,4
106407,12,4
54696,26,4
15891,1,4
33396,4,4
23764,4,4
67767,4,4
61961,5,4
14949,4,4
105233,20,4
33192,22,4
81123,4,4
28980,6,1
90939,29,4
56484,4,4
96300,30,1
97833,11,4
40060,4,4
38137,1,1
83082,16,4
92332,28,4
100747,30,4
96807,4,4
30768,26,4
105775,29,4
62879,4,4
27379,4,4
118241,11,4
66910,4,4
122664,22,1
50266,26,4
36450,4,4
79340,1,4
75643,0,4
119658,22,4
74267,13,4
88871,25,1
102801,29,4
110908,11,4
122924,25,25
120422,6,1
95124,11,4
15294,2,4
109552,15,4
64452,25,1
19936,2,4
39036,3,1
96902,30,4
18102,1,1
73574,0,4
19384,1,4
104629,9,4
22858,2,4
112611,11,4
109774,25,4
46457,28,4
93121,25,25
113800,22,1
122405,4,4
35478,4,4
91822,7,4
17520,2,4
120712,12,1
17496,4,4
109315,9,4
55484,4,4
53980,1,1
38995,21,1
62706,4,4
95483,27,4
4293,1,4
27660,0,4
73859,4,4
17415,2,4
68030,4,4
18880,20,4
59157,10,4
74605,4,4
14336,8,1
103195,25,4
68239,6,4
55081,0,4
2231,4,4
112546,30,4
2532,2,4
71529,4,4
83426,29,4
73751,14,4
55224,4,4
80487,14,1
65872,11,4
80995,4,4
9482,8,4
87021,22,1
122770,29,4
10032,4,4
120486,28,4
68286,13,4
19964,4,4
3245,4,4
44915,4,4
48678,9,4
110653,24,4
42258,6,4
72423,4,4
51849,20,4
7864,17,1
35508,4,4
85252,15,4
27070,4,4
104420,25,4
33293,23,4
97534,11,4
73371,4,4
82118,17,1
93745,4,4
27741,8,4
87683,4,4
9709,1,4
101362,15,4
114408,3,4
93251,4,4
13756,1,1
31141,4,4
77335,16,4
113901,12,4
79820,4,4
101399,1,1
88809,0,4
85876,4,4
99629,7,4
12600,4,4
61746,23,4
15881,3,4
29226,5,4
22851,2,4
46544,4,4
28509,24,4
34257,4,4
96860,25,4
105448,8,4
90252,24,4
51394,10,4
35761,4,4
76766,4,4
82491,13,4
60407,1,1
74957,4,4
114113,12,4
75894,0,4
123417,25,4
107976,5,4
67544,1,1
61548,11,4
34957,4,4
38093,4,4
85268,1,4
95877,30,4
60567,29,4
62928,1,1
102767,20,4
32301,26,4
54398,16,4
69849,26,4
120349,6,1
77304,8,4
100617,1,1
12650,13,4
115275,4,4
41027,10,4
94199,11,4
77768,4,4
78324,4,4
122140,11,4
47923,10,4
11699,4,4
101943,28,4
18686,4,4
2071,8,1
107429,11,4
44123,4,4
86042,19,4
59146,25,4
85996,20,1
109526,25,4
124010,8,4
70165,24,4
41752,3,4
75027,4,4
27263,15,4
87572,4,4
100751,25,4
50905,18,4
48337,4,4
13035,23,4
97389,1,1
91584,4,4
26767,9,1
85290,10,4
105803,15,4
101395,30,4
13557,2,4
74098,9,4
27895,4,4
413,4,4
59373,4,4
79639,4,4
97902,30,1
69140,4,4
16789,4,4
88784,4,4
118777,4,4
119215,4,4
62454,11,4
52427,21,4
470,4,4
93369,11,4
50134,26,4
35703,9,4
117176,29,4
45492,4,4
68218,4,4
120815,1,1
84919,8,4
10672,4,4
69149,14,4
75013,23,4
47781,4,4
59071,27,4
48491,1,1
64730,4,4
93061,1,1
123134,13,4
71585,5,4
87088,9,4
66974,4,4
121389,9,1
65616,14,4
60668,4,4
34652,1,1
20205,20,4
73952,22,1
101618,11,4
38473,4,4
575,8,1
13645,1,1
18396,4,4
100307,20,4
76402,4,4
100491,25,4
7320,20,4
82657,0,4
13433,4,4
73232,4,4
121841,9,4
77727,19,4
72457,24,4
55899,9,1
47125,4,4
43797,20,1
58678,4,4
47033,11,4
14529,8,4
65712,16,4
28086,5,1
87761,1,1
70157,25,4
92456,4,4
22835,1,1
114331,15,4
49564,7,4
56885,3,4
120041,9,4
89414,4,4
100015,4,4
110421,4,4
37887,23,4
44177,26,4
76315,4,4
23369,8,1
55518,1,1
43396,7,4
82401,25,4
116396,15,4
75155,4,4
108338,22,1
10039,4,4
55028,15,4
76496,1,4
44951,4,4
67366,4,4
121361,22,4
32787,12,4
54258,15,15
111966,20,4
98008,4,4
106051,24,25
49166,4,4
100763,1,1
115257,15,4
7395,9,4
98207,25,4
38125,4,4
61546,9,4
49880,1,4
77636,25,4
35346,6,4
8506,9,4
9636,4,4
75770,4,4
73534,13,4
80555,7,4
5346,12,4
24929,23,4
56716,4,4
27233,4,4
61403,25,4
76333,24,4
114810,11,4
105435,18,4
82695,1,4
11931,4,4
106577,4,4
58030,14,4
300,4,4
121251,4,4
121302,4,4
18965,1,4
119268,12,4
17954,25,4
103730,25,25
63812,0,4
51762,4,4
97893,23,4
37330,9,4
114900,5,4
97329,12,4
46616,7,4
26550,1,1
3580,4,4
67736,20,4
77494,27,4
6177,1,1
51521,27,4
19354,4,4
28852,4,4
103372,1,1
18994,1,4
102712,11,4
91243,25,4
40125,4,4
8033,1,1
60266,4,4
83188,20,4
117855,24,4
36810,3,4
16379,1,1
88026,0,4
57595,28,4
31053,25,4
28171,4,4
91978,4,4
77457,13,4
31776,1,4
18116,25,4
11459,4,4
39783,21,4
115177,1,4
121152,17,4
54095,21,4
49995,7,4
76933,15,4
89501,11,4
61766,9,4
41510,17,4
35818,4,4
38854,21,1
73397,1,1
92214,4,4
72136,23,4
84628,3,4
50059,10,4
73342,1,1
36755,4,4
7326,2,1
124202,25,4
34879,1,4
123767,4,4
58454,4,4
53052,4,4
56482,10,4
120122,23,4
27311,6,4
19368,15,4
24079,8,4
12786,16,4
72362,1,4
36635,22,4
97278,3,4
24786,25,25
55010,26,4
38869,4,4
90471,27,4
78020,9,4
84602,4,4
87553,1,1
30162,26,4
10085,7,4
60076,10,10
93866,4,4
4645,7,4
109210,11,4
21350,2,4
72366,15,4
43847,4,4
121891,1,4
42426,4,4
89141,23,4
40008,11,4
119677,25,4
30046,18,4
51751,9,4
112461,4,4
86768,4,4
31071,13,4
53963,13,4
102670,7,4
55343,11,4
31470,9,4
26373,6,4
43883,9,4
35850,4,4
113350,1,4
41362,4,4
100748,10,4
70462,4,4
97877,1,4
16240,9,4
73358,22,4
99859,28,4
36637,22,4
117465,7,4
27836,0,4
85308,4,4
63077,13,4
99565,23,4
53226,10,1
9351,4,4
96843,12,4
17095,2,4
59107,1,1
51180,21,1
42450,23,4
116310,11,1
78454,9,4
77490,4,4
36436,24,4
2211,4,4
114954,19,4
37015,21,1
105762,10,4
86452,1,1
86307,1,1
81356,4,4
10752,4,4
50280,4,4
98070,29,4
56495,1,1
122125,11,4
68846,4,4
78805,5,4
23325,4,4
70670,14,4
25969,4,4
120342,10,4
6541,4,4
31735,4,4
5428,4,4
81939,20,1
33475,1,4
90358,1,4
2327,4,4
60286,4,4
28384,26,4
85246,1,1
30444,9,1
69088,1,1
14616,20,1
49889,10,10
3899,4,4
35123,4,4
43009,4,4
114747,20,4
55957,26,4
2807,4,4
7112,3,4
49051,4,4
42117,20,4
106243,11,4
39311,4,4
8748,2,4
30160,26,4
112716,7,4
7519,2,4
47978,4,4
41389,18,4
1599,4,4
56415,28,4
8180,13,4
118710,22,4
81245,7,4
22998,25,4
29966,10,4
79349,8,1
110175,1,1
29634,6,4
90984,22,1
76662,4,4
82496,9,1
115940,25,4
12942,4,4
104773,22,1
80585,1,4
83880,4,4
78458,4,4
17318,5,1
56807,8,4
98130,1,1
95574,1,4
95092,30,4
109058,15,4
44625,11,4
90313,25,4
29342,6,4
91950,11,4
32978,23,4
49276,8,4
59501,20,4
28726,20,4
75659,16,4
2623,1,4
5548,2,4
79171,10,4
19101,4,4
11978,8,4
876,4,4
12072,20,4
86144,20,4
86169,8,4
117563,13,4
40798,26,4
118600,25,4
42798,21,1
22809,25,4
20266,8,1
58140,1,4
43580,8,4
112528,22,4
47677,0,4
46328,4,4
124400,22,4
98954,29,4
45593,4,4
55792,11,4
80701,8,1
110790,10,1
505,4,4
3182,6,4
55520,4,4
74818,1,1
56560,8,4
118383,4,4
109981,19,4
102891,23,4
124758,9,4
63977,22,4
57953,1,4
104190,4,4
87628,7,4
83437,28,4
113179,5,4
21355,2,1
88766,18,4
14247,9,4
91301,23,4
110803,4,4
51426,28,4
94009,30,4
108991,1,1
61835,11,4
94997,19,4
90511,3,4
82965,5,4
118942,28,4
13075,11,4
123440,20,4
4537,1,1
36851,1,1
36722,4,4
12528,4,4
68059,4,4
73612,6,4
52944,11,4
107581,3,4
109860,16,1
28651,11,4
87612,4,4
115839,1,1
46150,1,1
34988,4,4
4510,4,4
66419,4,4
71136,4,4
593,6,4
100877,24,4
99271,5,1
70217,4,4
97413,1,1
120770,9,4
107177,1,1
90657,1,1
81033,4,4
110569,8,1
105707,28,4
83416,1,1
119451,1,1
48909,26,4
95468,7,4
50183,4,4
31755,4,4
15315,3,4
28260,1,4
105876,11,4
108797,12,4
5326,4,4
104307,4,4
122737,18,4
39431,20,1
15742,4,4
117267,4,4
98874,27,4
100952,25,4
73435,29,4
54204,10,4
120779,18,4
35235,4,4
100640,4,4
67213,10,1
47586,4,4
56384,26,4
49622,26,1
1656,1,4
12898,4,4
108752,23,4
8256,7,4
121603,25,4
123242,12,4
91909,23,4
20017,10,4
109232,3,4
30840,6,4
34050,8,4
84465,25,4
111484,24,4
94466,15,4
123291,4,4
122747,1,4
57312,4,4
48315,13,4
75187,5,1
74196,10,4
81002,1,1
27479,4,4
20105,1,1
51906,1,1
121855,30,4
11588,4,4
35653,26,4
71311,3,4
120136,1,1
41518,14,4
51480,21,1
19741,4,4
81694,16,4
38198,21,1
83799,1,4
108488,11,4
116132,11,4
99910,11,4
123637,23,4
82849,9,1
111612,8,4
66933,22,4
80334,15,4
51289,5,4
69867,27,1
113195,4,4
47095,14,4
124807,4,4
50204,4,4
13973,1,1
93875,8,4
13343,4,4
105135,11,4
42055,4,4
52455,4,4
93754,1,1
112897,4,4
84841,6,25
7843,4,4
103763,13,4
89477,15,4
9122,17,4
77013,7,1
114389,7,4
29166,6,4
62378,4,4
45282,4,4
19419,24,4
118210,10,4
74680,23,4
20130,4,4
30742,4,4
58179,5,4
16126,23,4
19066,4,4
17688,4,4
40918,1,4
88625,4,4
19777,4,4
44993,26,4
110051,8,1
75657,4,4
2538,4,4
123702,15,4
59713,4,4
71961,22,4
18271,2,4
120172,1,1
30663,4,4
2540,1,4
40354,13,4
37974,4,4
56545,1,1
36339,21,4
33880,9,4
67247,4,4
31409,4,4
36605,8,4
117821,28,4
97571,7,4
78654,6,1
44660,1,1
118493,0,4
71850,9,1
24159,25,4
18509,4,4
81137,0,4
84756,10,4
56102,4,4
40939,25,4
99872,1,1
121383,28,4
55382,1,1
20485,1,4
35197,4,4
33836,4,4
96765,4,4
118649,7,4
77159,4,4
46127,4,4
86847,1,4
122417,22,1
6576,4,4
3049,0,4
100148,3,4
87747,30,4
33747,22,4
19574,11,4
24969,9,9
61163,1,1
6245,1,1
112927,25,4
35078,4,4
111084,4,4
109801,28,4
20696,2,4
87452,24,4
71467,1,1
89330,28,1
50963,1,1
24891,1,4
24483,4,4
39508,25,4
68829,4,4
8062,1,4
69514,4,4
59828,13,4
77588,4,4
67898,22,1
16522,20,4
92198,17,1
62724,4,4
94695,15,4
104541,25,4
84169,1,4
51623,6,1
2320,4,4
1938,1,4
65114,4,4
120842,16,4
5175,1,4
27767,4,4
115051,13,4
87184,4,4
23337,9,4
69742,13,4
28819,26,4
106282,7,4
32902,25,25
91572,30,4
105443,0,4
53477,22,4
49603,5,4
87559,11,4
54889,4,4
101127,23,4
117288,9,4
73760,25,4
78637,20,20
5061,10,4
25655,4,4
61132,4,4
112125,28,4
35487,22,4
5215,10,4
13141,8,1
111747,24,4
50458,26,4
114560,4,4
99414,9,4
73422,1,4
85740,1,1
113291,28,4
64144,14,4
11803,4,4
124084,11,4
108273,1,4
44641,1,1
81280,27,4
61620,4,4
38583,25,4
77020,27,4
12070,1,4
66447,13,4
45872,20,4
72987,22,4
12246,24,4
118608,27,4
119666,25,4
3241,8,4
23628,8,1
104802,11,4
37061,4,4
34777,4,4
72707,16,4
113662,10,4
22685,24,4
97025,27,4
87016,24,24
14477,4,4
106095,11,4
13195,2,4
42872,0,4
56163,4,4
80844,15,4
118811,28,4
85060,10,4
86922,28,4
62360,4,4
84199,4,4
2165,1,1
17656,9,4
27198,1,1
118964,4,4
76531,16,4
109997,25,4
54461,5,4
99078,30,4
86537,4,4
36377,4,4
124246,13,4
27680,18,4
36305,9,1
97545,0,4
60192,13,4
35718,8,4
14120,2,4
67371,24,4
104377,25,4
78838,5,4
90733,1,1
45157,20,4
46066,26,4
85619,4,4
117200,4,4
119681,3,4
98586,11,4
79894,16,4
40195,1,1
8688,1,1
105452,5,4
68753,4,4
17269,4,4
96305,28,4
88042,25,4
106555,16,4
116379,27,4
80796,13,4
56012,21,1
30168,4,4
21436,4,4
66607,5,4
50850,4,4
44694,5,4
70758,10,4
22384,17,4
85809,7,1
29413,26,4
139,5,4
94863,20,4
42862,9,4
120267,28,4
53360,26,4
60055,11,4
37016,8,4
3287,1,1
100383,18,4
58403,15,15
79136,0,1
44500,10,4
12560,5,4
8739,1,4
123042,22,1
49580,6,4
10970,20,4
99638,27,4
85146,13,4
31534,4,4
62935,13,4
8667,0,4
118288,27,4
116776,28,4
55564,6,4
6916,9,1
110554,9,4
42705,26,4
15872,4,4
69347,13,4
95013,11,4
7215,1,1
124018,25,4
33943,26,4
69071,22,4
78409,23,4
34464,11,4
99118,4,4
103758,23,4
16520,1,4
120447,20,4
62872,6,1
28348,1,4
66006,23,4
10829,4,4
42357,1,4
26220,22,1
40987,4,4
117105,12,4
55966,25,4
74494,4,4
114455,1,1
68227,13,4
15976,9,1
30263,4,4
105370,1,4
83975,22,4
38406,3,4
21549,9,4
40019,6,4
93455,25,4
72951,20,4
79755,0,4
120549,20,4
103887,25,4
105177,20,4
77357,5,4
51950,11,4
7336,4,4
89655,28,4
73457,25,4
37878,4,4
57403,4,4
87569,4,4
15774,4,4
13741,4,4
52490,1,1
67457,4,4
7119,1,1
17723,4,4
18308,6,4
33199,21,4
38582,4,4
52117,15,4
67676,4,4
17917,0,4
92832,28,4
25502,5,1
82364,27,4
5464,4,4
92857,23,4
53131,25,4
63606,4,4
6399,0,4
45545,11,4
122968,6,4
12187,4,4
81117,4,4
76168,22,4
12253,8,4
79480,6,1
117827,1,1
11265,4,4
18418,6,4
98270,19,4
11402,25,4
122297,11,4
90459,25,4
54136,10,4
20864,1,4
76826,4,4
42518,17,4
1592,13,4
69882,8,4
4704,4,4
109980,29,4
87712,1,1
42198,11,4
9209,4,4
34331,4,4
52677,4,4
87255,11,4
31043,23,4
81357,8,4
81771,10,1
80321,5,4
65770,17,4
115946,12,4
105245,4,4
543,17,4
91932,27,1
68110,4,4
60256,4,4
65652,4,4
16078,6,4
71528,4,4
39154,4,4
5488,10,4
101269,8,4
102465,4,4
61366,26,4
71946,4,4
68727,1,1
66847,4,4
64392,4,4
16755,13,4
33091,6,4
11114,4,4
115222,25,25
25967,4,4
102882,28,4
47504,27,4
50376,4,4
108104,25,25
101051,4,4
124814,10,4
119038,11,4
32581,7,4
107614,0,4
54789,9,4
104774,12,4
15694,1,1
24733,4,4
124160,30,4
30175,10,1
108093,1,1
105755,15,4
97129,12,4
124270,11,4
3310,4,4
24069,4,4
113043,25,4
11863,4,4
25195,6,4
113368,3,4
26626,4,4
113841,22,1
18237,1,1
963,4,4
25157,4,4
33900,4,4
95509,12,4
26147,26,4
44831,4,4
56426,4,4
108232,10,4
100017,1,4
109585,0,4
29217,25,4
99063,11,4
121457,25,4
33,4,4
12966,4,4
87574,4,4
117170,29,1
102323,15,4
74512,4,4
53791,16,4
63149,14,4
66482,1,1
101811,4,4
25983,4,4
106431,29,4
57722,4,4
47694,0,4
77884,17,4
92873,7,4
57837,4,4
27513,4,4
31615,1,4
32020,4,4
19903,9,4
123988,4,4
82407,8,4
20772,18,4
113730,28,4
40359,26,4
99695,20,4
1841,1,1
60404,4,4
101016,28,4
48278,4,4
6452,4,4
39598,1,1
57567,26,4
17971,1,1
51343,4,4
21656,4,4
24375,2,4
111374,25,4
72375,13,4
328,4,4
20763,22,4
112888,12,4
71800,14,4
118707,22,1
87305,4,4
90831,10,4
121135,20,4
120762,24,25
42739,1,4
110339,28,4
113111,8,4
65144,1,1
106210,20,4
34338,4,4
72422,4,4
